psr_type,start_time,position,quantity_mw
B01,2026-01-27T00:00Z,1,424.29
B01,2026-01-27T00:00Z,2,424.32
B01,2026-01-27T00:00Z,3,423.67
B01,2026-01-27T00:00Z,4,425.37
B01,2026-01-27T00:00Z,5,424.64
B01,2026-01-27T00:00Z,7,423.94
B01,2026-01-27T00:00Z,8,424.57
B01,2026-01-27T00:00Z,9,424.41
B01,2026-01-27T00:00Z,10,423.66
B01,2026-01-27T00:00Z,11,423.47
B01,2026-01-27T00:00Z,12,422.69
B01,2026-01-27T00:00Z,13,421.7
B01,2026-01-27T00:00Z,14,421.13
B01,2026-01-27T00:00Z,15,421.4
B01,2026-01-27T00:00Z,16,420.32
B01,2026-01-27T00:00Z,17,419.74
B01,2026-01-27T00:00Z,18,420.55
B01,2026-01-27T00:00Z,19,419.34
B01,2026-01-27T00:00Z,20,417.57
B01,2026-01-27T00:00Z,21,417.41
B01,2026-01-27T00:00Z,22,419.22
B01,2026-01-27T00:00Z,23,418.96
B01,2026-01-27T00:00Z,24,417.65
B01,2026-01-27T00:00Z,25,419.57
B01,2026-01-27T00:00Z,26,421.83
B01,2026-01-27T00:00Z,27,421.23
B01,2026-01-27T00:00Z,28,419.73
B01,2026-01-27T00:00Z,29,421.0
B01,2026-01-27T00:00Z,30,422.36
B01,2026-01-27T00:00Z,31,422.2
B01,2026-01-27T00:00Z,32,420.93
B01,2026-01-27T00:00Z,33,420.97
B01,2026-01-27T00:00Z,34,420.49
B01,2026-01-27T00:00Z,35,419.68
B01,2026-01-27T00:00Z,36,418.52
B01,2026-01-27T00:00Z,37,419.29
B01,2026-01-27T00:00Z,38,415.63
B01,2026-01-27T00:00Z,39,413.4
B01,2026-01-27T00:00Z,40,413.98
B01,2026-01-27T00:00Z,41,420.65
B01,2026-01-27T00:00Z,42,414.14
B01,2026-01-27T00:00Z,43,408.08
B01,2026-01-27T00:00Z,44,408.96
B01,2026-01-27T00:00Z,45,409.1
B01,2026-01-27T00:00Z,46,410.06
B01,2026-01-27T00:00Z,47,410.19
B01,2026-01-27T00:00Z,48,411.16
B01,2026-01-27T00:00Z,49,391.63
B01,2026-01-27T00:00Z,50,390.36
B01,2026-01-27T00:00Z,51,386.53
B01,2026-01-27T00:00Z,52,382.68
B01,2026-01-27T00:00Z,53,381.47
B01,2026-01-27T00:00Z,54,386.67
B01,2026-01-27T00:00Z,55,391.33
B01,2026-01-27T00:00Z,56,391.78
B01,2026-01-27T00:00Z,57,393.26
B01,2026-01-27T00:00Z,58,389.65
B01,2026-01-27T00:00Z,59,389.36
B01,2026-01-27T00:00Z,60,396.2
B01,2026-01-27T00:00Z,61,402.26
B01,2026-01-27T00:00Z,62,411.33
B01,2026-01-27T00:00Z,63,413.98
B01,2026-01-27T00:00Z,64,419.29
B01,2026-01-27T00:00Z,65,422.65
B01,2026-01-27T00:00Z,66,422.53
B01,2026-01-27T00:00Z,67,421.41
B01,2026-01-27T00:00Z,68,421.31
B01,2026-01-27T00:00Z,69,420.96
B01,2026-01-27T00:00Z,70,421.45
B01,2026-01-27T00:00Z,71,417.36
B01,2026-01-27T00:00Z,72,415.61
B01,2026-01-27T00:00Z,73,413.34
B01,2026-01-27T00:00Z,74,414.78
B01,2026-01-27T00:00Z,75,413.46
B01,2026-01-27T00:00Z,76,416.15
B04,2026-01-27T00:00Z,1,2169.5
B04,2026-01-27T00:00Z,2,2105.05
B04,2026-01-27T00:00Z,3,2104.82
B04,2026-01-27T00:00Z,4,2046.76
B04,2026-01-27T00:00Z,5,2007.18
B04,2026-01-27T00:00Z,6,2000.13
B04,2026-01-27T00:00Z,7,2007.83
B04,2026-01-27T00:00Z,8,2025.36
B04,2026-01-27T00:00Z,9,2010.57
B04,2026-01-27T00:00Z,10,2001.21
B04,2026-01-27T00:00Z,11,1986.71
B04,2026-01-27T00:00Z,12,1993.75
B04,2026-01-27T00:00Z,13,1973.36
B04,2026-01-27T00:00Z,14,1970.76
B04,2026-01-27T00:00Z,15,1986.91
B04,2026-01-27T00:00Z,16,1986.31
B04,2026-01-27T00:00Z,17,1992.21
B04,2026-01-27T00:00Z,18,2025.6
B04,2026-01-27T00:00Z,19,2025.46
B04,2026-01-27T00:00Z,20,1998.77
B04,2026-01-27T00:00Z,21,2204.26
B04,2026-01-27T00:00Z,22,2248.37
B04,2026-01-27T00:00Z,23,2149.52
B04,2026-01-27T00:00Z,24,2289.61
B04,2026-01-27T00:00Z,25,2313.77
B04,2026-01-27T00:00Z,26,2441.96
B04,2026-01-27T00:00Z,27,2522.62
B04,2026-01-27T00:00Z,28,2556.73
B04,2026-01-27T00:00Z,29,2709.55
B04,2026-01-27T00:00Z,30,2817.23
B04,2026-01-27T00:00Z,31,2855.93
B04,2026-01-27T00:00Z,32,2830.93
B04,2026-01-27T00:00Z,33,2857.84
B04,2026-01-27T00:00Z,34,2881.11
B04,2026-01-27T00:00Z,35,2861.67
B04,2026-01-27T00:00Z,36,2811.1
B04,2026-01-27T00:00Z,37,2814.74
B04,2026-01-27T00:00Z,38,2788.89
B04,2026-01-27T00:00Z,39,2759.85
B04,2026-01-27T00:00Z,40,2819.57
B04,2026-01-27T00:00Z,41,3023.52
B04,2026-01-27T00:00Z,42,3341.58
B04,2026-01-27T00:00Z,43,3395.86
B04,2026-01-27T00:00Z,44,3616.65
B04,2026-01-27T00:00Z,45,3746.66
B04,2026-01-27T00:00Z,46,3728.36
B04,2026-01-27T00:00Z,47,3849.61
B04,2026-01-27T00:00Z,48,3915.03
B04,2026-01-27T00:00Z,49,3845.36
B04,2026-01-27T00:00Z,50,3905.53
B04,2026-01-27T00:00Z,51,3953.24
B04,2026-01-27T00:00Z,52,3923.85
B04,2026-01-27T00:00Z,53,3822.86
B04,2026-01-27T00:00Z,54,3736.31
B04,2026-01-27T00:00Z,55,3735.69
B04,2026-01-27T00:00Z,56,3751.44
B04,2026-01-27T00:00Z,57,3788.7
B04,2026-01-27T00:00Z,58,3926.34
B04,2026-01-27T00:00Z,59,3939.03
B04,2026-01-27T00:00Z,60,4175.46
B04,2026-01-27T00:00Z,61,4462.13
B04,2026-01-27T00:00Z,62,4710.1
B04,2026-01-27T00:00Z,63,4846.49
B04,2026-01-27T00:00Z,64,4957.38
B04,2026-01-27T00:00Z,65,5348.03
B04,2026-01-27T00:00Z,66,5709.07
B04,2026-01-27T00:00Z,67,6078.4
B04,2026-01-27T00:00Z,68,6187.52
B04,2026-01-27T00:00Z,69,6215.79
B04,2026-01-27T00:00Z,70,6224.07
B04,2026-01-27T00:00Z,71,6218.16
B04,2026-01-27T00:00Z,72,6191.11
B04,2026-01-27T00:00Z,73,6203.54
B04,2026-01-27T00:00Z,74,6239.39
B04,2026-01-27T00:00Z,75,6230.55
B04,2026-01-27T00:00Z,76,6074.22
B05,2026-01-27T00:00Z,1,253.07
B05,2026-01-27T00:00Z,2,256.72
B05,2026-01-27T00:00Z,3,257.31
B05,2026-01-27T00:00Z,4,257.27
B05,2026-01-27T00:00Z,5,257.03
B05,2026-01-27T00:00Z,6,257.16
B05,2026-01-27T00:00Z,7,257.12
B05,2026-01-27T00:00Z,8,256.98
B05,2026-01-27T00:00Z,9,256.76
B05,2026-01-27T00:00Z,10,257.05
B05,2026-01-27T00:00Z,11,256.98
B05,2026-01-27T00:00Z,12,256.76
B05,2026-01-27T00:00Z,13,257.17
B05,2026-01-27T00:00Z,14,256.89
B05,2026-01-27T00:00Z,15,256.78
B05,2026-01-27T00:00Z,16,256.76
B05,2026-01-27T00:00Z,17,256.87
B05,2026-01-27T00:00Z,18,256.8
B05,2026-01-27T00:00Z,19,256.92
B05,2026-01-27T00:00Z,20,256.52
B05,2026-01-27T00:00Z,21,256.66
B05,2026-01-27T00:00Z,22,256.98
B05,2026-01-27T00:00Z,23,257.45
B05,2026-01-27T00:00Z,24,257.71
B05,2026-01-27T00:00Z,25,257.72
B05,2026-01-27T00:00Z,26,260.03
B05,2026-01-27T00:00Z,27,305.48
B05,2026-01-27T00:00Z,28,378.0
B05,2026-01-27T00:00Z,29,414.6
