country,bidding_zone,psr_type,start_time,position,quantity_mw
FR,,B10,2026-01-27T00:00Z,1,2204.75
FR,,B10,2026-01-27T00:00Z,2,2509.66
FR,,B10,2026-01-27T00:00Z,3,2795.02
FR,,B10,2026-01-27T00:00Z,4,2834.98
FR,,B10,2026-01-27T00:00Z,5,2831.71
FR,,B10,2026-01-27T00:00Z,6,2938.15
FR,,B10,2026-01-27T00:00Z,7,3076.46
FR,,B10,2026-01-27T00:00Z,8,3146.05
FR,,B10,2026-01-27T00:00Z,9,3096.64
FR,,B10,2026-01-27T00:00Z,10,3095.94
FR,,B10,2026-01-27T00:00Z,11,3097.59
FR,,B10,2026-01-27T00:00Z,12,3096.37
FR,,B10,2026-01-27T00:00Z,13,3218.02
FR,,B10,2026-01-27T00:00Z,14,3251.65
FR,,B10,2026-01-27T00:00Z,15,3249.68
FR,,B10,2026-01-27T00:00Z,16,3249.88
FR,,B10,2026-01-27T00:00Z,17,3247.19
FR,,B10,2026-01-27T00:00Z,18,3247.8
FR,,B10,2026-01-27T00:00Z,19,3244.37
FR,,B10,2026-01-27T00:00Z,20,3234.96
FR,,B10,2026-01-27T00:00Z,21,2770.24
FR,,B10,2026-01-27T00:00Z,22,2754.31
FR,,B10,2026-01-27T00:00Z,23,2302.43
FR,,B10,2026-01-27T00:00Z,24,1423.87
FR,,B10,2026-01-27T00:00Z,25,1315.88
FR,,B10,2026-01-27T00:00Z,26,965.99
FR,,B10,2026-01-27T00:00Z,27,59.01
FR,,B10,2026-01-27T00:00Z,28,9.26
FR,,B10,2026-01-27T00:00Z,29,9.1
FR,,B10,2026-01-27T00:00Z,30,9.29
FR,,B10,2026-01-27T00:00Z,31,9.18
FR,,B10,2026-01-27T00:00Z,32,9.61
FR,,B10,2026-01-27T00:00Z,33,9.31
FR,,B10,2026-01-27T00:00Z,34,9.18
FR,,B10,2026-01-27T00:00Z,35,9.32
FR,,B10,2026-01-27T00:00Z,36,9.36
FR,,B10,2026-01-27T00:00Z,37,9.47
FR,,B10,2026-01-27T00:00Z,38,9.26
FR,,B10,2026-01-27T00:00Z,39,9.37
FR,,B10,2026-01-27T00:00Z,40,9.67
FR,,B10,2026-01-27T00:00Z,41,9.27
FR,,B10,2026-01-27T00:00Z,42,9.31
FR,,B10,2026-01-27T00:00Z,43,9.3
FR,,B10,2026-01-27T00:00Z,44,11.33
FR,,B10,2026-01-27T00:00Z,45,24.25
FR,,B10,2026-01-27T00:00Z,46,26.02
FR,,B10,2026-01-27T00:00Z,47,27.67
FR,,B10,2026-01-27T00:00Z,48,34.49
FR,,B10,2026-01-27T00:00Z,49,42.64
FR,,B10,2026-01-27T00:00Z,50,46.61
