country,country_name,bidding_zone,psr_type,generation_type,start_time,position,quantity_mw
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,1,2204.75
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,2,2509.66
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,3,2795.02
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,4,2834.98
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,5,2831.71
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,6,2938.15
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,7,3076.46
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,8,3146.05
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,9,3096.64
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,10,3095.94
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,11,3097.59
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,12,3096.37
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,13,3218.02
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,14,3251.65
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,15,3249.68
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,16,3249.88
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,17,3247.19
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,18,3247.8
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,19,3244.37
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,20,3234.96
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,21,2770.24
