time_interval_utc,area,unit_name,unit_code,type,instance_code,mtu_utc,generation_mw,consumption_mw,mtu_start,mtu_end
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 00:00 - 27/01/2026 00:15,,2.52,2026-01-27 00:00:00,2026-01-27 00:15:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 00:15 - 27/01/2026 00:30,,2.66,2026-01-27 00:15:00,2026-01-27 00:30:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 00:30 - 27/01/2026 00:45,,2.7,2026-01-27 00:30:00,2026-01-27 00:45:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 00:45 - 27/01/2026 01:00,,2.83,2026-01-27 00:45:00,2026-01-27 01:00:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 01:00 - 27/01/2026 01:15,,1.83,2026-01-27 01:00:00,2026-01-27 01:15:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 01:15 - 27/01/2026 01:30,,1.23,2026-01-27 01:15:00,2026-01-27 01:30:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 01:30 - 27/01/2026 01:45,,1.23,2026-01-27 01:30:00,2026-01-27 01:45:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 01:45 - 27/01/2026 02:00,,1.13,2026-01-27 01:45:00,2026-01-27 02:00:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 02:00 - 27/01/2026 02:15,,1.02,2026-01-27 02:00:00,2026-01-27 02:15:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 02:15 - 27/01/2026 02:30,,1.12,2026-01-27 02:15:00,2026-01-27 02:30:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 02:30 - 27/01/2026 02:45,,2.85,2026-01-27 02:30:00,2026-01-27 02:45:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 02:45 - 27/01/2026 03:00,,2.56,2026-01-27 02:45:00,2026-01-27 03:00:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 03:00 - 27/01/2026 03:15,,0.95,2026-01-27 03:00:00,2026-01-27 03:15:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 03:15 - 27/01/2026 03:30,,1.07,2026-01-27 03:15:00,2026-01-27 03:30:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 03:30 - 27/01/2026 03:45,,1.18,2026-01-27 03:30:00,2026-01-27 03:45:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 03:45 - 27/01/2026 04:00,,1.18,2026-01-27 03:45:00,2026-01-27 04:00:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 04:00 - 27/01/2026 04:15,,1.19,2026-01-27 04:00:00,2026-01-27 04:15:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 04:15 - 27/01/2026 04:30,,1.16,2026-01-27 04:15:00,2026-01-27 04:30:00
27/01/2026 00:00 - 28/01/2026 00:00,BZN|FR,FR_LANDIVISIAUGU,17W000001023725I,Fossil Gas,17W000001023725I,27/01/2026 04:30 - 27/01/2026 04:45,,1.34,2026-01-27 04:30:00,2026-01-27 04:45:00
