country,country_name,gen_zone,price_zone
FR,France,10YFR-RTE------C,10YFR-RTE------C
DE,Germany,10Y1001A1001A83F,10Y1001A1001A82H
ES,Spain,10YES-REE------0,10YES-REE------0
IT,Italy,10YIT-GRTN-----B,10Y1001A1001A73I
PT,Portugal,10YPT-REN------W,10YPT-REN------W
NL,Netherlands,10YNL----------L,10YNL----------L
BE,Belgium,10YBE----------2,10YBE----------2
AT,Austria,10YAT-APG------L,10YAT-APG------L
CH,Switzerland,10YCH-SWISSGRIDZ,10YCH-SWISSGRIDZ
PL,Poland,10YPL-PSE------S,10YPL-PSE------S
GR,Greece,10YGR-HTSO-----Y,10YGR-HTSO-----Y
